time,liver_damage,liver_viability,liver_GSH,heart_V,heart_force,heart_hERG_block,C_blood,C_liver,C_heart,IL6,TNFa,IL10,inflammatory_index
11.0,0.7682789472615771,0.23172105273842292,0.0,-84.17940781850423,1.8844668015313077e-07,0.0,0.0,5.146342851099327e+48,5.1463428510993286e+48,74131.33110030204,62084.520220153485,0.0,136215851320.45552
12.0,0.7682789472615771,0.23172105273842292,0.0,-84.10679393214197,7.947077760410601e-08,0.0,0.0,6.920816349057823e+52,6.920816349057823e+52,80067.0312824588,64161.29060685212,0.0,144228321889.31094
13.0,0.7682789472615771,0.23172105273842292,0.0,-84.03439376864839,3.602878582857463e-08,0.0,0.0,9.307133302856898e+56,9.307133302856898e+56,85991.71098849461,66340.87781005983,0.0,152332588798.55444
14.0,0.7682789472615771,0.23172105273842292,0.0,-83.96220661433078,1.8002260228129268e-08,0.0,0.0,1.251625905792754e+61,1.2516259057927543e+61,91939.42545773329,68637.43462802458,0.0,160576860085.75787
15.0,0.7682789472615771,0.23172105273842292,0.0,-83.89023175636484,1.0128687822659773e-08,0.0,0.0,1.6831900404506532e+65,1.6831900404506532e+65,97941.28913205849,71059.97674838339,0.0,169001265880.4419
16.0,0.7682789472615771,0.23172105273842292,0.0,-83.81846848271775,6.483473285054142e-09,0.0,0.0,2.263558703251532e+69,2.263558703251532e+69,104025.94872322053,73614.76415741452,0.0,177640712880.63507
17.0,0.7682789472615771,0.23172105273842292,0.0,-83.7469160820835,4.69674316298812e-09,0.0,0.0,3.0440401142665685e+73,3.0440401142665685e+73,110219.9828451482,76306.68031542805,0.0,186526663160.57626
18.0,0.7682789472615771,0.23172105273842292,0.0,-83.67557384383042,3.779824501185301e-09,0.0,0.0,4.093633712239687e+77,4.093633712239687e+77,116548.24452399953,79140.02660329187,0.0,195688271127.2914
19.0,0.7682789472615771,0.23172105273842292,0.0,-83.60444105795348,3.297307622699771e-09,0.0,0.0,5.5051301365727626e+81,5.5051301365727626e+81,123034.15797155575,82118.9764636889,0.0,205153134435.24466
20.0,0.7682789472615771,0.23172105273842292,0.0,-83.5335170150323,3.0450338180201997e-09,0.0,0.0,7.403314500265958e+85,7.403314500265958e+85,129699.9778929337,85247.83224101315,0.0,214947810133.94687
21.0,0.7682789472615771,0.23172105273842292,0.0,-83.46280100619542,2.9209252404921705e-09,0.0,0.0,9.955998174453653e+89,9.955998174453653e+89,136567.01757597495,88531.16830741976,0.0,225098185883.39474
22.0,0.7682789472615771,0.23172105273842292,0.0,-83.39229232308686,2.87089190613861e-09,0.0,0.0,1.3388854363294118e+94,1.3388854363294118e+94,143655.85065055182,91973.90926418421,0.0,235629759914.73605
23.0,0.7682789472615771,0.23172105273842292,0.0,-83.32199025783524,2.8648978551577383e-09,0.0,0.0,1.8005369026831618e+98,1.800536902683162e+98,150986.49045826512,95581.37163644859,0.0,246567862094.71375
