# Primal Logic Processor Output
# K=0.5
# lambda=2.0
t,velocity,error,integral,control,comfort
9.520,0.198234,0.198234,4.571435,-2.285717,100.00
9.530,0.175377,0.175377,4.556637,-2.278318,100.00
9.540,0.152594,0.152594,4.541869,-2.270934,100.00
9.550,0.129884,0.129884,4.527130,-2.263565,100.00
9.560,0.107249,0.107249,4.512420,-2.256210,100.00
9.570,0.084687,0.084687,4.497740,-2.248870,100.00
9.580,0.062198,0.062198,4.483088,-2.241544,100.00
9.590,0.039782,0.039782,4.468466,-2.234233,100.00
9.600,0.017440,0.017440,4.481089,-2.240544,100.00
9.610,0.000000,0.000000,4.466410,-2.233205,100.00
9.620,0.000000,0.000000,4.451934,-2.225967,100.00
9.630,0.000000,0.000000,4.437487,-2.218743,100.00
9.640,0.000000,0.000000,4.423068,-2.211534,100.00
9.650,0.000000,0.000000,4.408678,-2.204339,100.00
9.660,0.000000,0.000000,4.394317,-2.197159,100.00
9.670,0.000000,0.000000,4.379985,-2.189992,100.00
9.680,0.000000,0.000000,4.392357,-2.196179,100.00
9.690,0.000000,0.000000,4.377969,-2.188984,100.00
9.700,0.000000,0.000000,4.363779,-2.181890,100.00
9.710,0.000000,0.000000,4.349618,-2.174809,100.00
9.720,0.000000,0.000000,4.335486,-2.167743,100.00
9.730,0.000000,0.000000,4.321381,-2.160690,100.00
9.740,0.000000,0.000000,4.307304,-2.153652,100.00
9.750,0.000000,0.000000,4.293255,-2.146628,100.00
9.760,0.000000,0.000000,4.305383,-2.152691,100.00
9.770,0.000000,0.000000,4.291279,-2.145640,100.00
9.780,0.000000,0.000000,4.277371,-2.138685,100.00
9.790,0.000000,0.000000,4.263490,-2.131745,100.00
9.800,0.000000,0.000000,4.249637,-2.124819,100.00
9.810,0.000000,0.000000,4.235812,-2.117906,100.00
9.820,0.000000,0.000000,4.222014,-2.111007,100.00
9.830,0.000000,0.000000,4.208243,-2.104121,100.00
9.840,0.000000,0.000000,4.220130,-2.110065,100.00
9.850,0.000000,0.000000,4.206306,-2.103153,100.00
9.860,0.000000,0.000000,4.192673,-2.096337,100.00
9.870,0.000000,0.000000,4.179067,-2.089534,100.00
9.880,0.000000,0.000000,4.165489,-2.082744,100.00
9.890,0.000000,0.000000,4.151937,-2.075968,100.00
9.900,0.000000,0.000000,4.138412,-2.069206,100.00
9.910,0.000000,0.000000,4.124914,-2.062457,100.00
9.920,0.000000,0.000000,4.136566,-2.068283,100.00
9.930,0.000000,0.000000,4.123016,-2.061508,100.00
9.940,0.000000,0.000000,4.109653,-2.054826,100.00
9.950,0.000000,0.000000,4.096316,-2.048158,100.00
9.960,0.000000,0.000000,4.083007,-2.041503,100.00
9.970,0.000000,0.000000,4.069723,-2.034862,100.00
9.980,0.000000,0.000000,4.056466,-2.028233,100.00
9.990,0.000000,0.000000,4.043235,-2.021618,100.00
