# Primal Logic Processor Output
# K=0.5
# lambda=2.0
t,velocity,error,integral,control,comfort
1.490,28.066712,28.066712,4.663661,-2.331831,100.00
1.500,28.043393,28.043393,4.661443,-2.330721,100.00
1.510,28.020086,28.020086,4.659225,-2.329613,100.00
1.520,27.996790,27.996790,4.862166,-2.431083,100.00
1.530,27.972479,27.972479,4.859745,-2.429873,100.00
1.540,27.948180,27.948180,4.857325,-2.428662,100.00
1.550,27.923894,27.923894,4.854905,-2.427452,100.00
1.560,27.899619,27.899619,4.852486,-2.426243,100.00
1.570,27.875357,27.875357,4.850068,-2.425034,100.00
1.580,27.851107,27.851107,4.847651,-2.423826,100.00
1.590,27.826868,27.826868,4.845235,-2.422617,100.00
1.600,27.802642,27.802642,5.043916,-2.521958,100.00
1.610,27.777423,27.777423,5.041290,-2.520645,100.00
1.620,27.752216,27.752216,5.038665,-2.519333,100.00
1.630,27.727023,27.727023,5.036042,-2.518021,100.00
1.640,27.701843,27.701843,5.033419,-2.516709,100.00
1.650,27.676675,27.676675,5.030797,-2.515399,100.00
1.660,27.651521,27.651521,5.028176,-2.514088,100.00
1.670,27.626381,27.626381,5.025557,-2.512778,100.00
1.680,27.601253,27.601253,5.220052,-2.610026,100.00
1.690,27.575153,27.575153,5.217217,-2.608609,100.00
1.700,27.549066,27.549066,5.214384,-2.607192,100.00
1.710,27.522995,27.522995,5.211551,-2.605776,100.00
1.720,27.496937,27.496937,5.208720,-2.604360,100.00
1.730,27.470893,27.470893,5.205890,-2.602945,100.00
1.740,27.444864,27.444864,5.203060,-2.601530,100.00
1.750,27.418848,27.418848,5.200232,-2.600116,100.00
1.760,27.392847,27.392847,5.390616,-2.695308,100.00
1.770,27.365894,27.365894,5.387568,-2.693784,100.00
1.780,27.338956,27.338956,5.384522,-2.692261,100.00
1.790,27.312034,27.312034,5.381476,-2.690738,100.00
1.800,27.285126,27.285126,5.378432,-2.689216,100.00
1.810,27.258234,27.258234,5.375388,-2.687694,100.00
1.820,27.231357,27.231357,5.372347,-2.686173,100.00
1.830,27.204496,27.204496,5.369306,-2.684653,100.00
1.840,27.177649,27.177649,5.555652,-2.777826,100.00
1.850,27.149871,27.149871,5.552386,-2.776193,100.00
1.860,27.122109,27.122109,5.549122,-2.774561,100.00
1.870,27.094363,27.094363,5.545859,-2.772930,100.00
1.880,27.066634,27.066634,5.542598,-2.771299,100.00
1.890,27.038921,27.038921,5.539338,-2.769669,100.00
1.900,27.011224,27.011224,5.536079,-2.768040,100.00
1.910,26.983544,26.983544,5.532822,-2.766411,100.00
1.920,26.955880,26.955880,5.715201,-2.857601,100.00
