# Primal Logic + MotorHandPro Integration
# Combined control system output
t,state,primal_control,throttle,psi,gamma,Ec,comfort
1.110,28.850916,-1.821241,104,28.869129,-1.821241,3.642481,100.00
1.120,28.831577,-1.933950,103,28.850916,-1.933950,3.867901,100.00
1.130,28.812245,-1.933208,103,28.831577,-1.933208,3.866416,100.00
1.140,28.792920,-1.932465,103,28.812245,-1.932465,3.864931,100.00
1.150,28.773603,-1.931723,103,28.792920,-1.931723,3.863446,100.00
1.160,28.754293,-1.930981,103,28.773603,-1.930981,3.861962,100.00
1.170,28.734991,-1.930239,103,28.754293,-1.930239,3.860478,100.00
1.180,28.715696,-1.929498,103,28.734991,-1.929498,3.858995,100.00
1.190,28.696408,-1.928756,103,28.715696,-1.928756,3.857512,100.00
1.200,28.676017,-2.039138,102,28.696408,-2.039138,4.078275,100.00
1.210,28.655634,-2.038308,102,28.676017,-2.038308,4.076616,100.00
1.220,28.635259,-2.037478,102,28.655634,-2.037478,4.074956,100.00
1.230,28.614893,-2.036649,102,28.635259,-2.036649,4.073297,100.00
1.240,28.594534,-2.035820,102,28.614893,-2.035820,4.071639,100.00
1.250,28.574184,-2.034991,102,28.594534,-2.034991,4.069981,100.00
1.260,28.553843,-2.034162,102,28.574184,-2.034162,4.068324,100.00
1.270,28.533509,-2.033333,102,28.553843,-2.033333,4.066667,100.00
1.280,28.512095,-2.141428,100,28.533509,-2.141428,4.282855,100.00
1.290,28.490690,-2.140507,100,28.512095,-2.140507,4.281014,100.00
1.300,28.469294,-2.139587,100,28.490690,-2.139587,4.279174,100.00
1.310,28.447908,-2.138667,100,28.469294,-2.138667,4.277334,100.00
1.320,28.426530,-2.137747,100,28.447908,-2.137747,4.275494,100.00
1.330,28.405162,-2.136828,100,28.426530,-2.136828,4.273655,100.00
1.340,28.383803,-2.135909,100,28.405162,-2.135909,4.271817,100.00
1.350,28.362453,-2.134990,100,28.383803,-2.134990,4.269980,100.00
1.360,28.340044,-2.240837,99,28.362453,-2.240837,4.481674,100.00
1.370,28.317646,-2.239822,99,28.340044,-2.239822,4.479645,100.00
1.380,28.295258,-2.238808,99,28.317646,-2.238808,4.477617,100.00
1.390,28.272880,-2.237795,99,28.295258,-2.237795,4.475589,100.00
1.400,28.250512,-2.236781,99,28.272880,-2.236781,4.473563,100.00
1.410,28.228155,-2.235768,99,28.250512,-2.235768,4.471537,100.00
1.420,28.205807,-2.234756,99,28.228155,-2.234756,4.469511,100.00
1.430,28.183470,-2.233743,99,28.205807,-2.233743,4.467486,100.00
1.440,28.160096,-2.337383,98,28.183470,-2.337383,4.674765,100.00
1.450,28.136733,-2.336271,98,28.160096,-2.336271,4.672543,100.00
1.460,28.113382,-2.335161,98,28.136733,-2.335161,4.670321,100.00
1.470,28.090041,-2.334050,98,28.113382,-2.334050,4.668101,100.00
1.480,28.066712,-2.332940,98,28.090041,-2.332940,4.665881,100.00
1.490,28.043393,-2.331831,98,28.066712,-2.331831,4.663661,100.00
1.500,28.020086,-2.330721,98,28.043393,-2.330721,4.661443,100.00
1.510,27.996790,-2.329613,98,28.020086,-2.329613,4.659225,100.00
1.520,27.972479,-2.431083,97,27.996790,-2.431083,4.862166,100.00
1.530,27.948180,-2.429873,97,27.972479,-2.429873,4.859745,100.00
1.540,27.923894,-2.428662,97,27.948180,-2.428662,4.857325,100.00
1.550,27.899619,-2.427452,97,27.923894,-2.427452,4.854905,100.00
1.560,27.875357,-2.426243,97,27.899619,-2.426243,4.852486,100.00
1.570,27.851107,-2.425034,97,27.875357,-2.425034,4.850068,100.00
1.580,27.826868,-2.423826,97,27.851107,-2.423826,4.847651,100.00
1.590,27.802642,-2.422617,97,27.826868,-2.422617,4.845235,100.00
1.600,27.777423,-2.521958,95,27.802642,-2.521958,5.043916,100.00
1.610,27.752216,-2.520645,95,27.777423,-2.520645,5.041290,100.00
1.620,27.727023,-2.519333,95,27.752216,-2.519333,5.038665,100.00
1.630,27.701843,-2.518021,95,27.727023,-2.518021,5.036042,100.00
1.640,27.676675,-2.516709,95,27.701843,-2.516709,5.033419,100.00
1.650,27.651521,-2.515399,95,27.676675,-2.515399,5.030797,100.00
1.660,27.626381,-2.514088,95,27.651521,-2.514088,5.028176,100.00
1.670,27.601253,-2.512778,95,27.626381,-2.512778,5.025557,100.00
1.680,27.575153,-2.610026,94,27.601253,-2.610026,5.220052,100.00
1.690,27.549066,-2.608609,94,27.575153,-2.608609,5.217217,100.00
1.700,27.522995,-2.607192,94,27.549066,-2.607192,5.214384,100.00
1.710,27.496937,-2.605776,94,27.522995,-2.605776,5.211551,100.00
1.720,27.470893,-2.604360,94,27.496937,-2.604360,5.208720,100.00
1.730,27.444864,-2.602945,94,27.470893,-2.602945,5.205890,100.00
1.740,27.418848,-2.601530,94,27.444864,-2.601530,5.203060,100.00
1.750,27.392847,-2.600116,94,27.418848,-2.600116,5.200232,100.00
1.760,27.365894,-2.695308,93,27.392847,-2.695308,5.390616,100.00
1.770,27.338956,-2.693784,93,27.365894,-2.693784,5.387568,100.00
1.780,27.312034,-2.692261,93,27.338956,-2.692261,5.384522,100.00
1.790,27.285126,-2.690738,93,27.312034,-2.690738,5.381476,100.00
1.800,27.258234,-2.689216,93,27.285126,-2.689216,5.378432,100.00
1.810,27.231357,-2.687694,93,27.258234,-2.687694,5.375388,100.00
1.820,27.204496,-2.686173,93,27.231357,-2.686173,5.372347,100.00
1.830,27.177649,-2.684653,93,27.204496,-2.684653,5.369306,100.00
