time,liver_damage,liver_viability,liver_GSH,heart_V,heart_force,heart_hERG_block,C_blood,C_liver,C_heart,IL6,TNFa,IL10,inflammatory_index
39.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-82.22468073049116,1.0440752256553719e-08,0.0,0.0,5.150860447654787e+163,5.150860447654787e+163,314911.3407084556,179967.94332055253,0.0,494879284029.0081
40.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-82.15778320286722,1.06146399768721e-08,0.0,0.0,6.926891625619084e+167,6.926891625619085e+167,329342.6224113449,187553.1578544095,0.0,516895780265.75446
41.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-82.09107960323503,1.0802804647419904e-08,0.0,0.0,9.3153033518736e+171,9.315303351873602e+171,344404.6038912648,195474.46181868782,0.0,539879065709.95264
42.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-82.02456922772646,1.1002655080745108e-08,0.0,0.0,1.2527246162837447e+176,1.2527246162837447e+176,360125.9474211191,203746.5470952287,0.0,563872494516.3478
43.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-81.9582513723936,1.1212277709724467e-08,0.0,0.0,1.68466758941094e+180,1.68466758941094e+180,376536.47855246236,212384.7727902107,0.0,588921251342.6731
44.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-81.89212533317759,1.1430261157699298e-08,0.0,0.0,2.265545715251461e+184,2.265545715251461e+184,393667.2503134182,221405.19236956965,0.0,615072442682.9879
45.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-81.82619040587528,1.1655567283017285e-08,0.0,0.0,3.046712253595945e+188,3.046712253595945e+188,411550.6086301313,230824.58228407873,0.0,642375190914.2101
46.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-81.76044588610722,1.1887435939683087e-08,0.0,0.0,4.0972272127298e+192,4.097227212729801e+192,430220.2592279889,240660.47211337872,0.0,670880731341.3677
47.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-81.6948910692844,1.2125314390026523e-08,0.0,0.0,5.50996268614474e+196,5.50996268614474e+196,449711.33625477995,250931.17626407632,0.0,700642512518.8562
48.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-81.62952525057389,1.2368804850519355e-08,0.0,0.0,7.409813326530175e+200,7.409813326530176e+200,470060.4728564529,261655.82726256285,0.0,731716300119.0157
49.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-81.56434772486661,1.2617625436543508e-08,0.0,0.0,9.964737814302845e+204,9.964737814302847e+204,491305.8739269137,272854.41068849375,0.0,764160284615.4075
50.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-81.4993577867421,1.2871581041829213e-08,0.0,0.0,1.3400607455558505e+209,1.3400607455558509e+209,513487.3912461048,284547.8017999616,0.0,798035193046.0665
51.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-81.43455473043358,1.3130541602765882e-08,0.0,0.0,1.8021174618384453e+213,1.8021174618384456e+213,536646.601215227,296757.80390632956,0.0,833404405121.5566
52.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-81.36993784979408,1.339442586258384e-08,0.0,0.0,2.4234926342208023e+217,2.4234926342208023e+217,560826.8853942051,309507.18854951137,0.0,870334073943.7166
53.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-81.30550643826018,1.3663189237254587e-08,0.0,0.0,3.2591197147220206e+221,3.2591197147220206e+221,586073.5140442057,322819.73755922046,0.0,908893251603.4263
54.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-81.24125978881698,1.3936814743514235e-08,0.0,0.0,4.382873364211757e+225,4.382873364211757e+225,612433.7328770456,336720.2870524033,0.0,949154019929.449
55.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-81.17719719396203,1.421530621460418e-08,0.0,0.0,5.894100434526483e+229,5.894100434526483e+229,639956.8532135556,351234.7734517414,0.0,991191626665.297
56.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-81.11331794566921,1.44986832260956e-08,0.0,0.0,7.926402851598979e+233,7.926402851598979e+233,668694.345754305,366390.28160278953,0.0,1035084627357.0946
57.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-81.04962133535132,1.4786977300513652e-08,0.0,0.0,1.065944886140778e+238,1.065944886140778e+238,698699.9381684255,382215.0950740341,0.0,1080915033242.4597
58.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-80.98610665382428,1.5080229068517432e-08,0.0,0.0,1.4334856826769336e+242,1.433485682676934e+242,730029.7167095626,398738.7487289251,0.0,1128768465438.4878
59.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-80.92277319126968,1.537848614573667e-08,0.0,0.0,1.9277555801964517e+246,1.9277555801964517e+246,762742.232072127,415992.08366379054,0.0,1178734315735.9175
